OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
47-3015,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,161270,35831.57
51-9198,Helpers-Production Workers,detailed,559680,33552.54
47-3016,Helpers-Roofers,detailed,22510,36481.72
47-4051,Highway Maintenance Workers,detailed,273580,42394.02
19-3093,Historians,detailed,2480,72948.97
25-1125,"History Teachers, Postsecondary",detailed,36340,80606.83
53-7041,Hoist and Winch Operators,detailed,1530,55048.26
49-9031,Home Appliance Repairers,detailed,56360,43962.25
31-1011,Home Health and Personal Care Aides,detailed,11850090,29360.27
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,1238380,27147.42
43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,640870,28743.39
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,197650,43749.12
Nov-21,Human Resources Managers,detailed,344120,127110.19
13-1078,Human Resources Specialists,detailed,1864770,67313.15
19-2043,Hydrologists,detailed,8230,94179.45
17-3026,Industrial Engineering Technologists and Technicians,detailed,142500,58908.41
17-2112,Industrial Engineers,detailed,770620,91744.75
49-9041,Industrial Machinery Mechanics,detailed,997090,57939.89
Nov-51,Industrial Production Managers,detailed,495830,113571.68
53-7051,Industrial Truck and Tractor Operators,detailed,1845290,40286.67
19-3032,Industrial-Organizational Psychologists,detailed,150,124467.5
43-4199,"Information and Record Clerks, All Other",detailed,308010,43311.94
15-1179,Information Security Analysts,detailed,315680,104971.95
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,1545680,44991.78
49-9799,"Installation, Maintenance, and Repair Workers, All Other",detailed,367890,44522.94
25-9031,Instructional Coordinators,detailed,359290,67470
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,99500,44316.13
47-2132,"Insulation Workers, Mechanical",detailed,86340,56978.54
13-1032,"Insurance Appraisers, Auto Damage",detailed,39410,68411.08
43-9041,Insurance Claims and Policy Processing Clerks,detailed,768670,43885.56
41-3021,Insurance Sales Agents,detailed,1612580,67092.82
13-2053,Insurance Underwriters,detailed,393000,78268.68
27-1025,Interior Designers,detailed,119370,59659.74
27-3091,Interpreters and Translators,detailed,92190,56126.53
43-4111,"Interviewers, Except Eligibility and Loan",detailed,434980,39377.9
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,5382130,31015.79
51-9071,Jewelers and Precious Stone and Metal Workers,detailed,67130,44094.86
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,55680,133627.91
23-1012,Judicial Law Clerks,detailed,28350,58387.07
25-2012,"Kindergarten Teachers, Except Special Education",detailed,239250,54959.34
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,7850970,35643.25
17-1012,Landscape Architects,detailed,33300,69139.17
37-3011,Landscaping and Groundskeeping Workers,detailed,3013510,34362.66
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,53900,44025.47
51-6011,Laundry and Dry-Cleaning Workers,detailed,445000,28005.82
25-1112,"Law Teachers, Postsecondary",detailed,24740,125846.72
23-1011,Lawyers,detailed,1358100,156018.6
